"","taxonomy"
"ASV_1","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 13;ASV_1"
"ASV_10","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 13;ASV_10"
"ASV_100","Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;NA;ASV_100"
"ASV_1000","Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Desulfitobacteriaceae;Desulfosporosinus;ASV_1000"
"ASV_10000","Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;NA;NA;ASV_10000"
"ASV_10001","Bacteria;Actinobacteriota;Coriobacteriia;OPB41;NA;NA;ASV_10001"
"ASV_10002","Bacteria;Chloroflexi;JG30-KF-CM66;NA;NA;NA;ASV_10002"
"ASV_10003","Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;NA;NA;ASV_10003"
"ASV_10004","Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;NA;ASV_10004"
"ASV_10005","Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;NA;ASV_10005"
"ASV_10006","Bacteria;Firmicutes;NA;NA;NA;NA;ASV_10006"
"ASV_10007","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;NA;ASV_10007"
"ASV_10008","Bacteria;Actinobacteriota;Coriobacteriia;OPB41;NA;NA;ASV_10008"
"ASV_10009","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;NA;ASV_10009"
"ASV_1001","Bacteria;Chloroflexi;P2-11E;NA;NA;NA;ASV_1001"
"ASV_10010","Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;NA;NA;ASV_10010"
"ASV_10011","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;ASV_10011"
"ASV_10012","Bacteria;NA;NA;NA;NA;NA;ASV_10012"
"ASV_10013","Bacteria;Chloroflexi;SHA-26;NA;NA;NA;ASV_10013"
"ASV_10014","Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanosarcina;ASV_10014"
"ASV_10015","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;JG30a-KF-32;ASV_10015"
"ASV_10016","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Oryzihumus;ASV_10016"
"ASV_10017","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;NA;ASV_10017"
"ASV_10018","Bacteria;Chloroflexi;TK10;NA;NA;NA;ASV_10018"
"ASV_10019","Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales;Abditibacteriaceae;Abditibacterium;ASV_10019"
"ASV_1002","Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Rhodovastum;ASV_1002"
"ASV_10020","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;ASV_10020"
"ASV_10021","Bacteria;Chloroflexi;KD4-96;NA;NA;NA;ASV_10021"
"ASV_10022","Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101 soil group;NA;ASV_10022"
"ASV_10023","Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira;ASV_10023"
"ASV_10024","Bacteria;Chloroflexi;TK10;NA;NA;NA;ASV_10024"
"ASV_10025","Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;NA;ASV_10025"
"ASV_10026","Bacteria;Acidobacteriota;Acidobacteriae;Subgroup 2;NA;NA;ASV_10026"
"ASV_10027","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);NA;ASV_10027"
"ASV_10028","Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;A21b;NA;ASV_10028"
"ASV_10029","Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;NA;ASV_10029"
"ASV_1003","Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA;ASV_1003"
"ASV_10030","Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus;ASV_10030"
"ASV_10031","Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Tetragenococcus;ASV_10031"
"ASV_10032","Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage;ASV_10032"
"ASV_10033","Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Aquisphaera;ASV_10033"
"ASV_10034","Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales;Abditibacteriaceae;Abditibacterium;ASV_10034"
"ASV_10035","Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Aquisphaera;ASV_10035"
"ASV_10036","Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;NA;NA;ASV_10036"
"ASV_10037","Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acidisphaera;ASV_10037"
"ASV_10038","Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Candidatus Solibacter;ASV_10038"
"ASV_10039","Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;NA;ASV_10039"
"ASV_1004","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;NA;ASV_1004"
"ASV_10040","Bacteria;Acidobacteriota;Acidobacteriae;NA;NA;NA;ASV_10040"
"ASV_10041","Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter;ASV_10041"
"ASV_10042","Bacteria;Myxococcota;Polyangia;mle1-27;NA;NA;ASV_10042"
"ASV_10043","Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;NA;ASV_10043"
"ASV_10044","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;NA;ASV_10044"
"ASV_10045","Bacteria;Proteobacteria;Gammaproteobacteria;JG36-TzT-191;NA;NA;ASV_10045"
"ASV_10046","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Pseudolabrys;ASV_10046"
"ASV_10047","Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;BSV13;ASV_10047"
"ASV_10048","Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;NA;ASV_10048"
"ASV_10049","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;NA;NA;ASV_10049"
"ASV_1005","Bacteria;Acidobacteriota;Acidobacteriae;Subgroup 2;NA;NA;ASV_1005"
"ASV_10050","Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;NA;ASV_10050"
"ASV_10051","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;ASV_10051"
"ASV_10052","Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas;ASV_10052"
"ASV_10053","Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;NA;ASV_10053"
"ASV_10054","Bacteria;Actinobacteriota;Coriobacteriia;OPB41;NA;NA;ASV_10054"
"ASV_10055","Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage;ASV_10055"
"ASV_10056","Bacteria;Firmicutes;Clostridia;Gracilibacteraceae;Lutispora;NA;ASV_10056"
"ASV_10057","Bacteria;Chloroflexi;Anaerolineae;SJA-15;NA;NA;ASV_10057"
"ASV_10058","Bacteria;Chloroflexi;Anaerolineae;SJA-15;NA;NA;ASV_10058"
"ASV_10059","Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;ASV_10059"
"ASV_1006","Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Granulicella;ASV_1006"
"ASV_10060","Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;ASV_10060"
"ASV_10061","Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;A21b;NA;ASV_10061"
"ASV_10062","Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;NA;ASV_10062"
"ASV_10063","Bacteria;Chloroflexi;Anaerolineae;SJA-15;NA;NA;ASV_10063"
"ASV_10064","Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Rice Cluster II;NA;ASV_10064"
"ASV_10065","Bacteria;MBNT15;NA;NA;NA;NA;ASV_10065"
"ASV_10066","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;JG30a-KF-32;ASV_10066"
"ASV_10067","Bacteria;WPS-2;NA;NA;NA;NA;ASV_10067"
"ASV_10068","Bacteria;Chloroflexi;KD4-96;NA;NA;NA;ASV_10068"
"ASV_10069","Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;ASV_10069"
"ASV_1007","Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;NA;ASV_1007"
"ASV_10070","Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Desulfitobacteriaceae;Desulfosporosinus;ASV_10070"
"ASV_10071","Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes;ASV_10071"
